heart_rate,spo2,temperature,risk_label
137,91,38.49321822640092,0
127,92,38.849651592782095,0
49,98,36.3209519533257,0
141,91,39.429704951495616,1
106,96,36.89760668603942,0
55,96,36.791711686252164,0
137,89,38.129497647267385,1
156,92,39.5669970695227,1
109,99,37.27183078586708,0
122,93,38.06837745757497,0
151,94,38.65501450911033,0
134,93,39.03737565788164,1
138,89,38.965574580041995,1
186,93,37.75198650753972,0
165,88,37.5452754595521,1
184,91,38.98240726314705,0
87,97,36.79118645702489,0
36,97,37.10611849197372,0
122,92,39.268096585783496,1
192,89,39.42811667129934,1
72,95,36.096490155114104,0
164,90,39.341110589061806,1
55,94,37.29579591806949,0
195,94,37.80702695461434,0
92,98,37.378777678547266,0
56,99,36.26084923129177,0
123,94,39.80210470654343,1
83,99,36.7263732799765,0
93,98,36.53102797773977,0
49,98,36.46927613830426,0
85,97,37.102905844200286,0
142,89,38.33374792922786,1
89,97,36.75235384411309,0
98,96,37.29214432451788,0
165,94,38.36738300474057,0
85,95,37.28583661491502,0
169,90,37.582116675608596,0
55,96,36.19719982853172,0
107,94,36.69771488183527,0
52,99,36.047430824345234,0
166,88,38.405984747791585,1
123,94,38.193967931573546,0
94,95,36.01833223922367,0
48,98,36.721243155369535,0
43,94,37.345498444457235,0
124,88,38.89326342222512,1
87,99,36.1194895353101,0
164,92,37.96115717854714,0
118,94,38.98846254330011,0
126,92,38.49329528864399,0
145,90,38.02476398273897,0
42,96,36.48914179866907,0
69,99,36.26696280892914,0
115,92,38.44431486860042,0
198,90,37.66427159857088,0
84,99,36.99968287970576,0
138,89,38.81097567331895,1
166,91,38.70271987096896,0
36,99,36.783496463831504,0
168,94,37.75745369832829,0
88,98,36.105704709325444,0
140,90,38.43327329069938,0
38,95,37.256402573746435,0
88,95,36.572227839537334,0
180,94,39.947328589039905,1
78,95,37.21379126401613,0
196,88,38.87930648814835,1
48,96,36.3235047152233,0
129,90,38.763769697765085,0
82,99,36.47497974425467,0
49,98,36.24996252687607,0
74,94,36.77941021869671,0
116,89,39.51328741839476,1
145,93,39.00799350544245,1
87,99,37.162307810393784,0
58,97,37.32217361580818,0
188,93,38.01246073853955,0
158,94,38.309975152767,0
75,95,36.01820269291503,0
191,94,39.33976153299,1
49,98,36.03714508542335,0
79,98,37.22702170622541,0
99,98,36.589994370829494,0
123,89,39.77656000885076,1
105,98,36.47854429237702,0
43,95,37.15515026399172,0
122,90,38.97573735628702,0
163,91,39.576636266413125,1
170,92,38.5235291304781,0
97,99,36.50786105253232,0
173,92,38.2361643988548,0
115,91,39.93636816299718,0
170,91,37.85028293941613,0
197,89,38.914441549916404,1
197,90,39.73638056723523,1
67,94,36.67868971401048,0
157,88,38.17169339846237,1
39,95,36.88686950775661,0
75,94,36.195098503701956,0
62,96,36.590385508374595,0
169,89,38.81422545575671,1
106,98,36.96771060065352,0
46,98,36.02574694716645,0
196,89,38.8241541966377,1
67,95,36.807123065719956,0
82,99,36.09404555988199,0
185,92,39.12855097087966,1
96,95,37.00828361428521,0
71,98,36.01539416012187,0
133,92,38.15920950658654,0
138,94,39.68472519390629,1
69,95,36.84072360460711,0
135,88,38.73568462534568,1
165,89,39.7860298648124,1
35,95,36.56613410216863,0
39,99,36.726484787395975,0
176,89,37.9157084218902,1
137,90,37.96092730169741,0
61,98,36.84441295325294,0
171,89,37.67062426338523,1
49,96,36.404171231478976,0
124,91,39.29761476296061,1
76,96,37.32902951588087,0
158,94,39.15917791340662,1
97,99,36.18900178838969,0
130,88,38.17477805598049,1
86,97,36.22681942904822,0
130,91,37.62856453371062,0
166,93,39.8880907818087,1
185,90,38.3356097270424,0
177,89,38.685593271750925,1
63,94,36.10519289443013,0
70,94,36.57791097084945,0
47,98,36.96376335499883,0
194,89,38.64920378190283,1
105,96,37.14674324474388,0
120,92,37.505848476564445,0
62,96,36.381003192121945,0
100,95,36.14433124441924,0
79,98,36.12821490265729,0
96,96,37.346938300069766,0
168,88,39.875593384552005,1
62,94,36.259186100374066,0
62,99,37.3414391102055,0
142,90,39.3305622160239,1
78,98,37.062650183754386,0
118,92,39.23069141129463,0
64,99,37.37280752025198,0
109,95,36.6851949491004,0
162,94,39.23293802864231,1
126,88,39.86014834921653,1
163,94,37.61041359427525,0
155,94,39.998383748914584,1
61,95,36.795123322773684,0
155,89,38.282137141263966,1
150,94,39.2435506681171,1
37,94,36.269638638899885,0
137,89,38.55440664932628,1
189,92,38.68553554164366,0
171,93,37.63720653661619,0
96,96,36.446740662540556,0
199,89,39.11136662656455,1
85,99,36.834777829874874,0
186,90,38.901692985008786,0
93,98,36.10773448228089,0
152,92,38.82566283158725,0
194,89,39.3119169288219,1
130,91,38.931069398583666,0
147,88,38.84600372595197,1
96,99,36.446253504104895,0
86,95,36.72823535383022,0
46,98,36.862208463455225,0
73,99,36.58450851763905,0
164,90,39.67524718475232,1
165,93,37.50059380893971,0
147,92,38.82234283506803,0
135,90,37.675074264368675,0
147,93,38.37677953862928,0
115,93,37.72135852653405,0
147,93,38.69968905075977,0
36,94,36.813060090118256,0
164,91,39.960208672998235,1
88,95,36.128379069156004,0
121,94,38.55339250569268,0
163,92,39.33067951796161,1
181,88,37.776185282828486,1
160,93,38.24250719113721,0
164,89,38.240770301139975,1
87,99,36.824751948259255,0
194,88,39.775847755143836,1
194,94,38.56943283433966,0
102,94,36.548282196756496,0
157,91,38.04563471966266,0
179,89,39.49497330535846,1
72,98,36.125175403237165,0
58,99,37.375262721112115,0
103,99,36.841117825019076,0
150,93,39.03352847302677,1
132,88,39.35838205723406,1
173,91,38.079179253458605,0
178,91,39.594564338208116,1
131,93,39.01934198719715,1
158,92,37.80084690508749,0
104,96,36.24713924480771,0
127,89,37.591829843566536,1
37,95,37.09141826299345,0
182,93,39.50192421782469,1
198,93,39.922756575352025,1
181,88,38.79565091669098,1
124,91,39.98726955661609,1
181,92,38.15058341987882,0
182,90,39.39559618926023,1
130,93,39.99083943951681,1
86,96,37.142166374986864,0
195,93,39.057343457337794,1
162,92,38.842436057233535,0
73,94,37.252890017718975,0
116,92,37.72871709349439,0
138,88,38.47792441520095,1
163,90,37.82378730320701,0
